Taxon_orig,Taxon
Lemna minuta,Lemna minuta
Solanum villosum,Solanum villosum
Tanacetum partheniifolium,Tanacetum partheniifolium
Xanthium saccharatum,Xanthium orientale
Geranium pyrenaicum,Geranium pyrenaicum
Helianthus tuberosus,Helianthus tuberosus
Heracleum mantegazzianum,Heracleum mantegazzianum
Herniaria hirsuta,Herniaria hirsuta
Hesperis matronalis,Hesperis matronalis
Hirschfeldia incana,Hirschfeldia incana
Hordeum jubatum,Hordeum jubatum
Bromus catharticus,Bromus catharticus
Hyssopus officinalis,Hyssopus officinalis
Impatiens glandulifera,Impatiens glandulifera
Impatiens parviflora,Impatiens parviflora
Allium paradoxum,Allium paradoxum
Inula helenium,Inula helenium
Iva xanthiifolia,Cyclachaena xanthiifolia
Laburnum anagyroides,Laburnum anagyroides
Lactuca tatarica,Lactuca tatarica
Symphyotrichum lanceolatum,Symphyotrichum lanceolatum
Symphytum asperum,Symphytum asperum
