"Species name";"Taxonomic group";"Environment";"Pathway: main category
(according to CBD scheme)";"Pathway: subcategory 
(according to CBD scheme)";"Pathway: intentionality ";"Source of the record:
D = DAISIE
G = GISD/IASPMR";"Record concerns overlapping species (i.e. species with records in both databases: DAISIE and GISD/IASPMR)";"Record concerns species that is listed among 'Europe's Worst IAS' according to EEA (2007) Halting the loss of biodiversity by 2010: proposal for a first set of indicators to monitor progress in Europe. EEA Technical Report No. 11/2007. European Environment Agency, Copenhagen, DK.";"Record concerns species that is listed among the '100 of the Worst IAS' in DAISIE
(www.europe-aliens.org)";"Record concerns species that is listed among the '100 of the Worst IAS' in GISD
(www.iucngisd.org)"
"Abbottina rivularis";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Abbottina rivularis";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abbottina rivularis";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abelmoschus moschatus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";;;;
"Abelmoschus moschatus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Abgrallaspis cyanophylli  Coccoidea";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies alba";"Plants";"terrestrial";"Release in nature";"Release in nature for use";"intentional";"D";;;;
"Abies balsamea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies balsamea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies concolor";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies fraseri";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies grandis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies nordmanniana";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies nordmanniana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies pinsapo";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Abies pinsapo";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies procera";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abies sibirica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Ablerus chionaspidis";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Ablerus clisiocampae";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Ablerus perspeciosus";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Abra ovata";"Invertebrates";"marine";"Release in nature";"Fishery in the wild";"intentional";"D";;;;
"Abramis bjoerkna";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Abramis brama";"Vertebrates";"freshwater";"Release in nature";"Fishery in the wild";"intentional";"D";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Abramis brama";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";"x";;;
"Abramis sapa";"Vertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Abronia fragrans";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abudefduf saxatilis";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Abudefduf saxatilis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";"x";;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Abudefduf vaigiensis";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Abutilon grandifolium";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon sonneratianum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon striatum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Abutilon theophrasti";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acabaria erythraea";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Acacia baileyana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia baileyana";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acacia confusa";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";;;;
"Acacia cultriformis";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Acacia cyclops";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Acacia cyclops";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia cyclops";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Acacia dealbata";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;"x";
"Acacia dealbata";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;"x";
"Acacia dealbata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;"x";
"Acacia dealbata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;"x";
"Acacia dealbata";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;"x";
"Acacia decurrens";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia farnesiana";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";"x";;;
"Acacia farnesiana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acacia farnesiana";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";;;
"Acacia farnesiana";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";"x";;;
"Acacia karoo";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia ligulata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia longifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acacia longifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acacia longifolia";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";;;
"Acacia longifolia";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";;;
"Acacia longifolia";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";"x";;;
"Acacia longifolia";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acacia mearnsii";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";"x";;;"x"
"Acacia mearnsii";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;"x"
"Acacia mearnsii";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"G";"x";;;"x"
"Acacia mearnsii";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;"x"
"Acacia melanoxylon";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";"x";;;
"Acacia melanoxylon";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acacia melanoxylon";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"G";"x";;;
"Acacia melanoxylon";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acacia melanoxylon";"Plants";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";"x";;;
"Acacia pycnantha";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia retinodes";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Acacia retinodes";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acacia retinodes";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Acacia saligna";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";"x";;
"Acacia saligna";"Plants";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";"x";"x";;
"Acacia verticillata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acaena anserinifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acaena inermis";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acaena novae-zelandiae";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acaena ovalifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acalypha australis";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acalypha indica";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Transportation of habitat material";"unintentional";"D";;;;
"Acalypha virginica";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acalyptris platani";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acalyptris platani";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acanalonia conica  Auchenorrhyncha";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acanthalburnus microlepis";"Vertebrates";"freshwater";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Acanthocyclops robustus";"Invertebrates";"freshwater";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Acanthogobius flavimanus";"Vertebrates";"multiple";"Transport - Contaminant & Stowaway";"Ship/boat hull fouling";"unintentional";"G";;;;
"Acantholyda erythrocephala";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acantholyda laricis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acanthophis antarcticus";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Acanthophis pyrrhus";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Acanthophora spicifera";"Algae";"marine";"Transport - Contaminant & Stowaway";"Ship/boat hull fouling";"unintentional";"G";;;;
"Acanthoscelides obtectus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Acanthoscelides pallidipennis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Acanthostracion quadricornis";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Acanthoxyla geisovii";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acanthoxyla inermis";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acanthurus dussumieri";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Acanthurus dussumieri";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Acanthurus guttatus";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Acanthurus leucosternon";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Acanthurus leucosternon";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Acanthurus leucosternon";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Acanthurus monroviae";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Acanthurus monroviae";"Vertebrates";"marine";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Acanthurus sohal";"Vertebrates";"marine";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Acanthurus sohal";"Vertebrates";"marine";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acanthus mollis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acar plicata";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Acartia centrura";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Acartia clausi";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Acartia tonsa";"Invertebrates";"marine";"Escape from confinement";"Aquaculture";"intentional";"D";;"x";;
"Acartia tonsa";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;"x";;
"Acaudaleyrodes rachipora  aleyrodoidae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Acer campestre";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Acer campestre";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acer cappadocicum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Acer ginnala";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";"x";;;
"Acer ginnala";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acer ginnala";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";;;
"Acer ginnala";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acer monspessulanum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acer negundo";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;"x";;
"Acer negundo";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;"x";;
"Acer negundo";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;"x";;
"Acer negundo";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;"x";;
"Acer negundo";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;"x";;
"Acer negundo";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;"x";;
"Acer platanoides";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acer platanoides";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Acer pseudoplatanus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acer pseudoplatanus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Acer pseudoplatanus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acer saccharinum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acer saccharinum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acer saccharinum";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Acer saccharum";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Acer tataricum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Aceratoneuromyia indica";"Invertebrates";"terrestrial";"Release in nature";"Biological control";"intentional";"D";;;;
"Acetabularia calyculus";"Algae";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Acetabularia calyculus";"Algae";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Container/bulk";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Contaminant nursery material";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Hitchhikers in or on airplane";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Machinery/equipment";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Machinery/equipment";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"People and their luggage/equipment";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Vehicles";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"G";;;;"x"
"Achatina fulica";"Invertebrates";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"G";;;;"x"
"Achillea ageratum";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Achillea ageratum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Achillea cartilaginea";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Achillea crithmifolia";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Achillea crithmifolia";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Achillea crithmifolia";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Achillea crithmifolia";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Achillea filipendulina";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Achillea filipendulina";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Achillea filipendulina";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Achillea filipendulina";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Achillea grandifolia";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Achillea micrantha";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Achillea micrantha";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Achillea millefolium";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Achillea millefolium";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Transportation of habitat material";"unintentional";"D";;;;
"Achillea nobilis";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Achillea nobilis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Achillea nobilis";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Achillea nobilis";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Achillea ptarmica";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Achillea roseoalba";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Achillea roseoalba";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Achillea setacea";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Achnanthes pseudogroenlandica";"Algae";"freshwater";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Achrophyllum dentatum";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Achyranthes sicula";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Acipenser baeri";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Acipenser baeri";"Vertebrates";"multiple";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Acipenser baeri";"Vertebrates";"multiple";"Release in nature";"Fishery in the wild";"intentional";"D";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Research (in facilities)";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Release in Nature";"Fishery in the wild";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser baerii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser fulvescens";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser fulvescens";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"D";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
"Acipenser gueldenstaedtii";"Vertebrates";"multiple";"Escape from confinement";"Aquaculture";"intentional";"G";"x";;;
