Taxon,Laengengrad,Breitengrad,Zeitpunkt,Aufenthaltsw,Datenbank
Magallana gigas,7.9088697222,54.1816980556,2020-09-15,1,iNat
Magallana gigas,6.1973483418,53.4104721129,2023-09-08,1,iNat
Magallana gigas,11.5767168626,57.9368853662,2023-08-30,1,iNat
Magallana gigas,11.5767168626,57.9368853662,2023-08-30,1,iNat
Magallana gigas,11.5767480433,57.9368930194,2023-08-30,1,iNat
Magallana gigas,8.8095996463,54.5993102239,2023-08-24,1,iNat
Magallana gigas,10.5045453832,56.2683291277,2023-08-29,1,iNat
Magallana gigas,10.5052447073,56.2662990501,2023-08-29,1,iNat
Magallana gigas,8.5605016667,53.562575,2023-08-26,1,iNat
Magallana gigas,6.4408133997,53.402025,2023-08-13,1,iNat
Magallana gigas,8.8102987151,54.5997352346,2023-08-24,1,iNat
Magallana gigas,8.141482825,53.5136540433,2023-08-10,1,iNat
Magallana gigas,10.2923447639,55.6211050049,2023-08-18,1,iNat
Magallana gigas,10.1645398512,55.5810750566,2023-08-18,1,iNat
Magallana gigas,10.7065141489,56.2308934962,2023-08-16,1,iNat
Magallana gigas,7.561176382,53.6757811996,2023-08-15,1,iNat
Magallana gigas,12.8158915,45.5707323,2023-08-14,1,iNat
Magallana gigas,8.3735643896,54.7147730624,2023-08-04,1,iNat
Magallana gigas,8.2644383333,55.5291366667,2023-08-12,1,iNat
Magallana gigas,13.6405366667,45.532745,2023-08-11,1,iNat
Magallana gigas,5.3822133333,53.1050638333,2023-08-10,1,iNat
Magallana gigas,13.62633,45.53457,2023-08-09,1,iNat
Magallana gigas,8.5835845023,53.8614732555,2023-08-09,1,iNat
Magallana gigas,7.9605816957,53.7789882487,2023-08-09,1,iNat
Magallana gigas,6.2007710423,53.4689550727,2023-08-04,1,iNat
Magallana gigas,11.7925632745,57.597291919,2023-07-31,1,iNat
Magallana gigas,8.3699316667,54.70374,2023-08-04,1,iNat
Magallana gigas,8.6523710936,55.2951081708,2023-08-03,1,iNat
Magallana gigas,10.6156915,56.2278920997,2023-07-24,1,iNat
Magallana gigas,8.5898908833,53.8750307833,2023-07-21,1,iNat
Magallana gigas,12.6871842518,45.5173946538,2023-07-21,1,iNat
Magallana gigas,8.8806171541,54.1280677002,2023-07-09,1,iNat
Magallana gigas,11.7890397105,55.952014154,2023-07-06,1,iNat
Magallana gigas,8.3918533333,55.4984883333,2023-07-01,1,iNat
Magallana gigas,8.6023866667,54.6377833333,2023-07-04,1,iNat
Magallana gigas,8.0178328526,53.7323870424,2023-06-11,1,iNat
Magallana gigas,8.70946746,53.87142188,2023-06-07,1,iNat
Magallana gigas,12.3139411169,45.3094733264,2023-07-02,1,iNat
Magallana gigas,8.0346858501,53.7068223832,2023-06-11,1,iNat
Magallana gigas,8.7104409267,53.9893341887,2022-04-21,1,iNat
Magallana gigas,8.448816945,55.0431477783,2023-06-02,1,iNat
Magallana gigas,8.4389336117,55.0246677783,2023-05-27,1,iNat
Magallana gigas,11.79062,57.56567,2023-06-16,1,iNat
Magallana gigas,8.59272574,56.49402504,2023-06-16,1,iNat
Magallana gigas,12.333029,45.436865,2023-06-13,1,iNat
Magallana gigas,12.3172748413,45.4395977802,2023-06-13,1,iNat
Magallana gigas,12.343842,45.433795,2023-06-13,1,iNat
Magallana gigas,12.3139411169,45.3094733264,2023-06-13,1,iNat
Magallana gigas,8.9536423,54.0877614997,2023-06-13,1,iNat
Magallana gigas,8.3452777778,54.6988888889,2023-05-28,1,iNat
Magallana gigas,10.341743556,56.2440818999,2023-06-10,1,iNat
Magallana gigas,6.8295208038,53.4596355227,2012-07-30,1,iNat
Magallana gigas,8.6535466667,55.3077583333,2023-06-05,1,iNat
Magallana gigas,12.0383888333,57.4142833333,2023-06-04,1,iNat
Magallana gigas,8.8292289153,54.5076043195,2023-04-07,1,iNat
Magallana gigas,12.5758724639,45.4776138855,2023-06-01,1,iNat
Magallana gigas,6.4153345,53.4375926,2023-05-07,1,iNat
Magallana gigas,8.62038088,56.54400184,2023-05-27,1,iNat
Magallana gigas,12.4876947403,45.4515380859,2023-05-25,1,iNat
Magallana gigas,9.59577,55.5095,2023-02-07,1,iNat
Magallana gigas,10.68195,55.90863,2023-03-18,1,iNat
Magallana gigas,13.7395111023,45.6099059432,2023-05-19,1,iNat
Magallana gigas,7.1587422,53.6166466,2018-10-01,1,iNat
Magallana gigas,11.8053799722,55.7551929722,2023-05-19,1,iNat
Magallana gigas,12.8671840997,45.5881396997,2023-05-19,1,iNat
Magallana gigas,10.6860671331,55.0603292579,2023-05-13,1,iNat
Magallana gigas,11.7436319722,55.7217059722,2023-05-09,1,iNat
Magallana gigas,8.85391059,56.74303467,2023-05-07,1,iNat
Magallana gigas,6.2291116667,53.50522,2023-04-28,1,iNat
Magallana gigas,12.3291861111,45.4412111111,2023-04-29,1,iNat
Magallana gigas,13.1668795645,45.7641463485,2023-04-30,1,iNat
Magallana gigas,12.9554282909,45.6213090614,2023-04-29,1,iNat
Magallana gigas,13.7122174718,45.7030147856,2023-04-29,1,iNat
Magallana gigas,8.1235004961,53.5089333688,2022-06-25,1,iNat
Magallana gigas,8.5943471555,55.4053163807,2018-05-26,1,iNat
Magallana gigas,8.2916540466,56.5712032887,2023-04-27,1,iNat
Magallana gigas,13.7671220605,45.6518696623,2023-04-02,1,iNat
Magallana gigas,8.9545176432,54.0871922763,2023-04-21,1,iNat
Magallana gigas,10.3475636734,56.2563220201,2023-04-19,1,iNat
Magallana gigas,13.539875555,45.352854445,2023-03-31,1,iNat
Magallana gigas,12.3318466667,45.433245,2023-04-13,1,iNat
Magallana gigas,12.35232,45.4561283333,2023-04-10,1,iNat
Magallana gigas,12.3275845125,45.4362669767,2023-04-09,1,iNat
Magallana gigas,9.1707901284,56.8094140209,2023-04-08,1,iNat
Magallana gigas,12.349039,45.43268,2023-04-08,1,iNat
Magallana gigas,8.5648416667,55.0894083333,2023-04-07,1,iNat
Magallana gigas,8.56402,55.089825,2023-04-07,1,iNat
Magallana gigas,8.8419311866,54.4665712882,2023-04-05,1,iNat
Magallana gigas,8.438325,55.0241916667,2023-04-03,1,iNat
Magallana gigas,8.4344325769,55.0150308587,2023-04-02,1,iNat
Magallana gigas,8.4541407928,55.0439288076,2023-03-31,1,iNat
Magallana gigas,12.4559208378,45.4398289965,2023-03-23,1,iNat
Magallana gigas,13.60153,45.5303783333,2023-03-30,1,iNat
Magallana gigas,12.320387,45.326861,2023-03-26,1,iNat
Magallana gigas,11.080125,55.6784966667,2023-03-18,1,iNat
Magallana gigas,12.94478,56.558555,2023-03-10,1,iNat
Magallana gigas,8.6522554234,53.8887996914,2023-03-07,1,iNat
Magallana gigas,8.6381372809,53.8862516078,2023-03-08,1,iNat
Magallana gigas,8.3071352406,54.8536245153,2019-06-05,1,iNat
Magallana gigas,8.4146652222,55.4953041077,2023-02-27,1,iNat
Magallana gigas,9.7882184982,54.91431427,2023-02-27,1,iNat
Magallana gigas,10.6506910324,55.0351524353,2023-02-26,1,iNat
Magallana gigas,12.360701,45.425332,2023-02-25,1,iNat
Magallana gigas,8.37468,55.5033083333,2023-02-23,1,iNat
Magallana gigas,12.3463416667,45.4590683333,2023-02-22,1,iNat
Magallana gigas,8.6641233333,53.890705,2023-02-19,1,iNat
Magallana gigas,5.7692750171,53.4397783685,2023-02-05,1,iNat
Magallana gigas,10.6553305215,56.1800093209,2023-02-13,1,iNat
Magallana gigas,12.330445,45.4356633333,2023-02-11,1,iNat
Magallana gigas,7.1587422,53.6166466,2018-10-01,1,iNat
Magallana gigas,12.3266062545,45.430366396,2022-10-30,1,iNat
Magallana gigas,11.9114339997,57.5898581,2023-02-06,1,iNat
Magallana gigas,12.3317833333,45.439705,2023-01-05,1,iNat
Magallana gigas,12.3335283333,45.43242,2023-01-06,1,iNat
Magallana gigas,12.3331156875,45.43396229,2023-01-05,1,iNat
Magallana gigas,12.3331156875,45.43396229,2023-01-05,1,iNat
Magallana gigas,11.2842202932,55.9987130021,2023-01-04,1,iNat
Magallana gigas,12.6713143,56.7171427997,2023-01-02,1,iNat
Magallana gigas,12.3547466667,45.452805,2022-12-30,1,iNat
Magallana gigas,8.5912646726,54.3333584737,2006-05-11,1,iNat
Magallana gigas,8.5909706354,54.3336622623,2006-05-11,1,iNat
Magallana gigas,12.2786502913,45.2190712674,2022-12-10,1,iNat
Magallana gigas,9.9213,55.8584033333,2022-12-09,1,iNat
Magallana gigas,8.4648869688,55.1450238853,2018-06-18,1,iNat
Magallana gigas,7.588738031,53.7574967336,2022-05-19,1,iNat
Magallana gigas,12.4502749722,45.43672,2022-11-27,1,iNat
Magallana gigas,12.4448279722,45.43298,2022-11-27,1,iNat
Magallana gigas,12.3401505199,45.4331760045,2022-11-20,1,iNat
Magallana gigas,8.4959631554,55.0702939813,2022-11-20,1,iNat
Magallana gigas,12.5927777778,55.7783333333,2020-01-17,1,iNat
Magallana gigas,14.6697174844,45.1530814969,2017-07-14,1,iNat
Magallana gigas,13.7669866667,45.6508633333,2022-11-07,1,iNat
Magallana gigas,8.2269274539,53.5205520141,2022-11-05,1,iNat
Magallana gigas,12.3354278197,45.4336202137,2022-10-30,1,iNat
Magallana gigas,12.3836175854,45.4183598338,2022-10-31,1,iNat
Magallana gigas,14.5866394043,45.014862918,2014-07-01,1,iNat
Magallana gigas,7.4905109638,53.7240523979,2022-05-17,1,iNat
Magallana gigas,8.1500044105,53.5140222161,2022-10-17,1,iNat
Magallana gigas,8.5724366667,54.68945,2022-10-11,1,iNat
Magallana gigas,8.5723616667,54.6895,2022-10-11,1,iNat
Magallana gigas,8.3791138889,54.6369611111,2022-09-23,1,iNat
Magallana gigas,14.6673485041,45.1477005704,2022-07-29,1,iNat
Magallana gigas,12.5748271944,55.8144264167,2022-10-04,1,iNat
Magallana gigas,6.2166883333,53.4095583333,2022-09-24,1,iNat
Magallana gigas,12.127425,54.810695,2022-10-01,1,iNat
Magallana gigas,8.1464666667,55.9502366667,2022-09-27,1,iNat
Magallana gigas,12.3258686536,45.4375374816,2022-09-20,1,iNat
Magallana gigas,7.9040883333,54.1848283333,2022-09-21,1,iNat
Magallana gigas,14.5866394043,45.014862918,2014-07-01,1,iNat
Magallana gigas,14.6673377754,45.1472238569,2022-08-02,1,iNat
Magallana gigas,11.0747055,55.67433,2022-09-07,1,iNat
Magallana gigas,12.3323430833,45.4326934722,2022-09-02,1,iNat
Magallana gigas,12.985166274,45.6246773558,2022-08-29,1,iNat
Magallana gigas,13.1509806166,45.6913724475,2022-08-22,1,iNat
Magallana gigas,13.1516119956,45.6923471571,2022-08-21,1,iNat
Magallana gigas,12.6876388863,45.517337097,2022-07-28,1,iNat
Magallana gigas,8.7178843841,56.4766912954,2022-08-18,1,iNat
Magallana gigas,11.91258683,57.58956873,2022-08-15,1,iNat
Magallana gigas,10.0434892887,55.8569051844,2022-08-14,1,iNat
Magallana gigas,8.8702283333,54.5632366667,2022-08-07,1,iNat
Magallana gigas,13.5573338632,45.5269382992,2022-08-06,1,iNat
Magallana gigas,13.5530892399,45.4560818573,2022-08-06,1,iNat
Magallana gigas,12.336178,45.438215,2022-08-05,1,iNat
Magallana gigas,12.340873,45.432125,2022-08-04,1,iNat
Magallana gigas,6.1581305556,53.4711,2022-07-26,1,iNat
Magallana gigas,10.2017870173,54.3815770268,2022-07-28,1,iNat
Magallana gigas,6.1993881997,53.4111661,2022-05-22,1,iNat
Magallana gigas,8.5373216667,54.68058,2022-07-25,1,iNat
Magallana gigas,10.3695591997,56.5547364997,2022-07-20,1,iNat
Magallana gigas,8.651367928,55.2957524393,2022-07-14,1,iNat
Magallana gigas,8.5194075,53.7538027778,2022-07-11,1,iNat
Magallana gigas,6.1542789638,53.4462070445,2022-07-10,1,iNat
Magallana gigas,6.8074699802,53.460389185,2022-07-07,1,iNat
Magallana gigas,8.6324412983,53.884224027,2022-07-09,1,iNat
Magallana gigas,12.6457387581,45.5064972827,2022-07-08,1,iNat
Magallana gigas,7.9164098203,54.1840121786,2022-07-05,1,iNat
Magallana gigas,10.6765327454,56.1559410095,2022-07-04,1,iNat
Magallana gigas,11.8758266434,57.6298219053,2022-07-01,1,iNat
Magallana gigas,9.037946701,50.0430984497,2022-06-30,1,iNat
Magallana gigas,12.7077081464,45.5295714474,2022-06-30,1,iNat
Magallana gigas,8.7698109222,56.6924374667,2022-06-26,1,iNat
Magallana gigas,12.3528677193,45.4552031142,2022-06-21,1,iNat
Magallana gigas,12.3394378331,45.4330372071,2022-06-20,1,iNat
Magallana gigas,8.4926778392,55.1472808306,2022-06-22,1,iNat
Magallana gigas,7.8951429722,54.1751119722,2022-06-21,1,iNat
Magallana gigas,10.2241994666,56.1759313091,2022-06-22,1,iNat
Magallana gigas,10.6392566487,55.815282887,2022-06-21,1,iNat
Magallana gigas,6.1989361111,53.4087583333,2022-06-17,1,iNat
Magallana gigas,7.8050567947,53.7112023117,2022-06-14,1,iNat
Magallana gigas,5.8051013929,53.451427152,2022-06-13,1,iNat
Magallana gigas,5.8051614363,53.4513954185,2022-06-13,1,iNat
Magallana gigas,11.7535119444,57.9422722222,2020-02-02,1,iNat
Magallana gigas,12.3155149072,45.4405919043,2022-06-13,1,iNat
Magallana gigas,12.4145680438,45.4955152576,2022-06-04,1,iNat
Magallana gigas,12.3787248507,45.4356694029,2022-06-11,1,iNat
Magallana gigas,8.8281707761,54.508125305,2022-06-10,1,iNat
Magallana gigas,7.5221155691,53.7430684151,2022-05-15,1,iNat
Magallana gigas,7.5225683333,53.7423816667,2022-05-15,1,iNat
Magallana gigas,8.5103071976,53.9130324632,2022-05-29,1,iNat
Magallana gigas,12.3297083333,45.43562,2022-05-30,1,iNat
Magallana gigas,8.5937833333,53.865945,2022-05-28,1,iNat
Magallana gigas,8.5954226464,53.8660673684,2022-05-28,1,iNat
Magallana gigas,7.2829216667,53.67585,2022-05-27,1,iNat
Magallana gigas,6.8226166667,53.4443883333,2022-05-27,1,iNat
Magallana gigas,8.5338455812,56.5460868932,2022-05-26,1,iNat
Magallana gigas,8.4092606977,55.4622511782,2022-05-22,1,iNat
Magallana gigas,8.9881693939,56.7986124349,2022-05-09,1,iNat
Magallana gigas,8.4537763127,55.3392030232,2022-02-08,1,iNat
Magallana gigas,6.6737001389,53.5745106834,2022-05-10,1,iNat
Magallana gigas,13.60108,45.5334633333,2017-08-18,1,iNat
Magallana gigas,6.7445513,53.5597747,2022-05-09,1,iNat
Magallana gigas,13.5679075605,45.521420546,2022-04-30,1,iNat
Magallana gigas,12.684133525,45.5161676472,2022-04-17,1,iNat
Magallana gigas,12.6914803472,45.5188841583,2022-04-17,1,iNat
Magallana gigas,12.6834739,45.516896,2022-04-17,1,iNat
Magallana gigas,12.6806160833,45.5152458722,2022-04-17,1,iNat
Magallana gigas,8.2927780598,56.5872826668,2022-04-23,1,iNat
Magallana gigas,10.0817159191,55.5684030436,2022-02-12,1,iNat
Magallana gigas,8.3335318789,54.6783026457,2022-05-02,1,iNat
Magallana gigas,10.340505,56.2420283333,2022-04-26,1,iNat
Magallana gigas,6.165731661,53.4721475044,2022-04-19,1,iNat
Magallana gigas,8.8091653213,54.4996530635,2022-04-21,1,iNat
Magallana gigas,8.9828527778,56.7970027778,2022-04-23,1,iNat
Magallana gigas,8.6639866667,53.8912416667,2022-04-22,1,iNat
Magallana gigas,6.6894833333,53.5697366667,2022-04-20,1,iNat
Magallana gigas,6.70814825,53.5771283,2022-04-20,1,iNat
Magallana gigas,6.6674883333,53.5874966667,2022-04-20,1,iNat
Magallana gigas,6.6674883333,53.5874966667,2022-04-20,1,iNat
Magallana gigas,6.6893602028,53.569779969,2022-04-20,1,iNat
Magallana gigas,8.2688391019,55.489813078,2022-04-18,1,iNat
Magallana gigas,8.2685968664,55.4899502619,2022-04-18,1,iNat
Magallana gigas,14.5782278452,45.2361884191,2017-07-17,1,iNat
Magallana gigas,14.5866394043,45.014862918,2014-07-01,1,iNat
Magallana gigas,14.5866394043,45.014862918,2018-07-01,1,iNat
Magallana gigas,14.5866394043,45.014862918,2018-07-01,1,iNat
Magallana gigas,11.7139547691,55.7221398348,2022-04-17,1,iNat
Magallana gigas,12.3599300324,45.394403929,2022-04-06,1,iNat
Magallana gigas,12.3710976515,45.4063068395,2022-04-03,1,iNat
Magallana gigas,9.1507025564,56.6569117025,2021-03-20,1,iNat
Magallana gigas,9.0605471667,56.8438616667,2022-04-16,1,iNat
Magallana gigas,14.5866394043,45.014862918,2014-07-01,1,iNat
Magallana gigas,14.5866394043,45.014862918,2014-07-01,1,iNat
Magallana gigas,14.5866394043,45.014862918,2018-07-01,1,iNat
Magallana gigas,10.5487039313,55.863695199,2021-05-28,1,iNat
Magallana gigas,7.143055,53.7078132,2022-04-11,1,iNat
Magallana gigas,7.7085215345,53.7027486168,2022-04-02,1,iNat
Magallana gigas,8.2977812304,54.7622185004,2022-04-08,1,iNat
Magallana gigas,11.0799888333,55.6785583333,2022-04-07,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,12.5786367971,45.4781507114,2021-08-12,1,iNat
Magallana gigas,8.2992180437,54.8160137189,2022-03-28,1,iNat
Magallana gigas,8.2980806997,54.8145693,2022-03-28,1,iNat
Magallana gigas,8.5368781909,54.6694576765,2022-03-26,1,iNat
Magallana gigas,12.3545955,45.4527841,2022-03-23,1,iNat
Magallana gigas,14.6698355015,45.1532403847,2017-07-14,1,iNat
Magallana gigas,8.6092990078,56.844335734,2022-03-15,1,iNat
Magallana gigas,11.9208346372,57.6268044027,2022-03-13,1,iNat
Magallana gigas,8.43807586,55.0243920393,2022-03-08,1,iNat
Magallana gigas,8.4631823728,54.876982855,2022-03-07,1,iNat
Magallana gigas,8.3920927048,55.3969917297,2022-03-12,1,iNat
Magallana gigas,8.5438533333,55.074975,2022-03-12,1,iNat
Magallana gigas,8.2958580789,54.9043850839,2022-03-04,1,iNat
Magallana gigas,8.2956759861,54.9048939796,2022-03-04,1,iNat
Magallana gigas,8.4380124329,55.0240126081,2022-03-03,1,iNat
Magallana gigas,10.6851479951,55.0417125935,2022-02-27,1,iNat
Magallana gigas,10.16853,54.4345116667,2022-02-19,1,iNat
Magallana gigas,7.143055,53.7078132,2018-03-19,1,iNat
Magallana gigas,8.1357538418,53.5115613907,2022-01-29,1,iNat
Magallana gigas,9.60981,57.02478,2022-01-21,1,iNat
Magallana gigas,8.343985,54.700425,2022-01-05,1,iNat
Magallana gigas,6.2960887,53.50479,2018-10-22,1,iNat
Magallana gigas,8.4625930556,54.74953,2021-12-31,1,iNat
Magallana gigas,10.6463284345,56.1873968055,2022-01-01,1,iNat
Magallana gigas,8.8049706817,54.0238971691,2021-09-12,1,iNat
Magallana gigas,8.8051503897,54.023906623,2021-09-12,1,iNat
Magallana gigas,13.7590752275,45.6458971379,2021-11-20,1,iNat
Magallana gigas,13.7602467271,45.6471082544,2021-11-20,1,iNat
Magallana gigas,7.9036584725,54.1848077458,2021-11-14,1,iNat
Magallana gigas,8.3623290596,55.4245607531,2021-11-14,1,iNat
Magallana gigas,8.9047424784,56.7103513254,2021-11-08,1,iNat
Magallana gigas,9.19505,56.72322,2021-09-28,1,iNat
Magallana gigas,11.9161906466,57.6225624803,2021-10-30,1,iNat
Magallana gigas,13.5679096223,45.5190066845,2021-10-20,1,iNat
Magallana gigas,13.6052578,45.1499462,2021-06-28,1,iNat
Magallana gigas,8.476275,55.1608471667,2021-10-15,1,iNat
Magallana gigas,9.8985648528,55.2500957056,2021-10-15,1,iNat
Magallana gigas,8.673461,53.8851758,2021-10-06,1,iNat
Magallana gigas,8.6734616,53.8851661,2021-10-06,1,iNat
Magallana gigas,8.6734559,53.8851764,2021-10-06,1,iNat
Magallana gigas,12.4160366667,45.496795,2021-10-04,1,iNat
Magallana gigas,12.3589533333,45.426895,2021-10-04,1,iNat
Magallana gigas,12.3589355419,45.4268606533,2021-10-04,1,iNat
Magallana gigas,12.618000044,56.0378764902,2021-08-26,1,iNat
Magallana gigas,8.408815,55.4872583333,2021-09-22,1,iNat
Magallana gigas,8.2394017652,53.5815282407,2021-09-08,1,iNat
Magallana gigas,10.4718225,56.2030874,2021-09-14,1,iNat
Magallana gigas,8.8539531,56.74327719,2021-09-05,1,iNat
Magallana gigas,12.7978096008,45.5631484985,2021-09-04,1,iNat
Magallana gigas,13.099992983,45.6468376369,2021-08-19,1,iNat
Magallana gigas,13.1516831741,45.6996945102,2021-08-23,1,iNat
Magallana gigas,13.1443198398,45.6873506371,2021-08-23,1,iNat
Magallana gigas,6.17310798,53.46173301,2021-08-28,1,iNat
Magallana gigas,6.18050739,53.4605956,2021-08-28,1,iNat
Magallana gigas,8.441599,53.96202,2016-08-24,1,iNat
Magallana gigas,6.4112093,53.4469278997,2021-07-10,1,iNat
Magallana gigas,6.4202706,53.4401824997,2021-07-10,1,iNat
Magallana gigas,6.4185188,53.4402037997,2021-07-10,1,iNat
Magallana gigas,6.4166413,53.3972892997,2021-07-10,1,iNat
Magallana gigas,7.378692627,53.7325076081,2019-11-16,1,iNat
Magallana gigas,7.1430548653,53.7077235609,2019-04-02,1,iNat
Magallana gigas,12.3703069095,45.4051615233,2021-08-20,1,iNat
Magallana gigas,11.9170675278,57.4824180603,2021-08-20,1,iNat
Magallana gigas,11.8194349855,55.678428174,2021-08-13,1,iNat
Magallana gigas,8.2910010964,54.8691969725,2021-08-10,1,iNat
Magallana gigas,9.8430125412,54.4618685601,2021-07-29,1,iNat
Magallana gigas,8.6688899994,55.2958755493,2021-08-06,1,iNat
Magallana gigas,10.4803367704,56.2831288436,2021-08-05,1,iNat
Magallana gigas,12.4616074562,45.4583567643,2021-08-05,1,iNat
Magallana gigas,12.126902,57.341142,2021-08-05,1,iNat
Magallana gigas,10.6043263877,56.2286735945,2021-08-04,1,iNat
Magallana gigas,12.4616074562,45.4583567643,2021-08-04,1,iNat
Magallana gigas,8.241991373,56.701105083,2021-08-04,1,iNat
Magallana gigas,8.3268196508,53.6072725933,2021-08-03,1,iNat
Magallana gigas,12.6457387581,45.5064972827,2021-08-03,1,iNat
Magallana gigas,12.136382,57.337736,2021-08-02,1,iNat
Magallana gigas,12.136382,57.337736,2021-08-02,1,iNat
Magallana gigas,12.2113659991,56.0264941305,2021-07-15,1,iNat
Magallana gigas,8.6525116771,55.2954652311,2021-07-10,1,iNat
Magallana gigas,6.159391,53.46781,2021-07-19,1,iNat
Magallana gigas,9.0258054657,56.8146425654,2021-07-24,1,iNat
Magallana gigas,8.5202493668,55.1549301147,2021-07-24,1,iNat
Magallana gigas,6.1637055556,53.4723,2021-07-21,1,iNat
Magallana gigas,8.6095138889,53.8857555556,2021-07-18,1,iNat
Magallana gigas,8.6268055556,53.8882222222,2021-07-18,1,iNat
Magallana gigas,9.1726254,56.8920636,2021-07-20,1,iNat
Magallana gigas,8.6359666667,53.8878777778,2021-07-18,1,iNat
Magallana gigas,8.6417277778,53.8881555556,2021-07-18,1,iNat
Magallana gigas,12.131625,57.340588334,2021-07-16,1,iNat
Magallana gigas,10.2318478748,56.4918513575,2021-07-16,1,iNat
Magallana gigas,8.3515896695,55.432857262,2021-07-13,1,iNat
Magallana gigas,11.921995163,57.6178665161,2021-07-14,1,iNat
Magallana gigas,8.779990488,56.7338026077,2021-07-12,1,iNat
Magallana gigas,10.6534321998,56.225613747,2021-07-11,1,iNat
Magallana gigas,8.525334584,55.2720085948,2021-07-09,1,iNat
Magallana gigas,11.8126902357,55.6730497107,2021-02-02,1,iNat
Magallana gigas,12.5260207057,45.4622158029,2021-07-04,1,iNat
Magallana gigas,12.549780719,45.4701802021,2021-07-01,1,iNat
Magallana gigas,12.5483789295,45.469770382,2021-07-01,1,iNat
Magallana gigas,8.463786125,55.3481369017,2021-06-30,1,iNat
Magallana gigas,6.8743675947,53.6697049279,2021-06-25,1,iNat
Magallana gigas,10.669195,56.2189216667,2021-06-06,1,iNat
Magallana gigas,12.03795,57.41682,2021-06-01,1,iNat
Magallana gigas,10.4315279019,56.2046401224,2021-06-05,1,iNat
